,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,DOG_1,DOG_2,DOG_3,DOG_4,Dual_1,Dual_2,Dual_3,Dual_4,Olig_1,Olig_2,Olig_3,Olig_4
miR-1,4,3,0,16,0,0,5,5,7,4,2,25,1,1,1,45
miR-100-3p,12,4,2,13,4,4,6,6,21,3,2,17,9,2,4,34
miR-100-5p,3398,1502,2547,1518,1594,911,1116,2489,3511,2518,1302,1035,2415,1851,682,566
miR-101-3p,66,45,10,234,47,25,32,51,57,101,38,38,55,19,13,147
miR-101-5p,8,14,23,279,24,12,90,64,17,16,33,38,19,7,40,259
miR-103a-2-5p,79,87,84,139,69,43,58,77,72,78,147,47,77,28,35,124
miR-103a-3p,673,419,260,208,393,180,150,201,740,785,245,112,586,351,46,90
miR-105-3p,0,6,5,34,1,1,10,12,7,0,2,37,5,0,2,82
miR-105-5p,4,2,2,91,1,1,6,13,5,6,4,29,4,1,1,65
miR-106a-3p,15,3,14,245,7,10,10,31,12,4,4,37,5,8,5,154
miR-106a-5p,232,285,132,207,152,90,70,46,283,210,142,39,283,67,41,128
miR-106b-3p,34,33,36,80,15,18,100,61,26,32,68,40,32,22,59,166
miR-106b-5p,475,479,418,135,279,235,238,65,461,413,310,80,457,219,119,169
miR-107,691,433,230,192,345,161,148,183,728,725,238,100,574,305,69,93
miR-10a-3p,11,4,10,84,7,7,10,12,19,8,4,23,6,12,5,58
miR-10a-5p,71,82,70,129,49,27,44,99,80,101,77,67,60,29,30,84
miR-10b-3p,6,5,4,31,3,7,7,10,8,2,2,16,8,0,14,71
miR-10b-5p,160,50,59,68,76,24,28,93,154,75,41,62,116,30,15,84
miR-1178-3p,1,2,1,36,2,0,4,13,11,4,2,28,5,0,1,63
miR-1178-5p,21,8,10,139,147,7,3084,943,12,33,2181,53,183,5,2074,1622
miR-1179,4,1,2,26,0,0,7,7,5,1,0,21,7,0,1,49
miR-1180-3p,25,29,50,128,16,19,37,82,39,37,18,63,32,11,21,133
miR-1180-5p,193,107,49,420,483,118,1143,778,282,642,1045,75,1126,30,826,1343
miR-1182,5,5,8,104,2,9,11,23,15,6,8,24,10,5,299,208
miR-1183,13,14,13,124,11,12,18,18,10,11,5,37,19,4,118,169
miR-1184,7,4,7,83,5,2,17,29,11,11,7,37,9,2,5,72
miR-1185-1-3p,27,13,13,41,22,13,8,11,48,35,14,22,21,19,7,78
miR-1185-2-3p,28,18,11,58,19,13,13,13,45,32,16,22,17,23,9,88
miR-1185-5p,54,33,12,42,14,21,10,10,37,61,7,30,23,31,3,55
miR-1193,2,5,4,44,3,3,8,23,6,5,4,28,6,0,32,118
miR-1197,11,3,5,46,10,1,32,11,11,10,21,28,9,3,20,83
miR-1199-3p,95,31,45,378,810,41,4152,2286,72,197,4044,111,825,15,2869,3593
miR-1200,26,12,11,205,117,13,1464,456,28,41,1132,56,128,4,804,995
miR-1202,84,95,384,380,94,62,165,292,70,96,153,119,212,33,96,392
miR-1204,10,4,6,84,4,4,10,13,16,9,4,33,4,1,3,78
miR-1205,7,3,4,67,4,5,11,18,7,3,8,24,1,5,4,65
miR-1206,1,2,1,26,2,1,8,10,8,1,3,29,2,0,0,44
miR-1207-3p,12,7,7,97,9,8,10,14,12,14,8,29,11,8,6,66
miR-1207-5p,594,1256,1858,2064,529,618,1123,1508,442,632,1455,1110,779,483,3281,2801
miR-1208,26,10,11,88,56,9,347,117,28,32,186,47,52,4,248,266
miR-1224-5p,24,30,39,218,31,33,45,92,30,30,119,67,24,22,237,237
miR-1225-3p,408,310,306,842,523,221,903,1025,312,431,1113,236,494,109,937,1653
miR-1225-5p,664,509,179,674,944,409,436,548,556,697,781,364,723,258,317,866
miR-122-5p,0,2,4,44,4,3,6,9,7,1,3,20,5,1,2,49
miR-1226-3p,25,9,15,136,8,6,11,31,17,15,9,55,12,6,6,93
miR-1227-3p,62,41,44,135,41,43,11,32,42,41,17,51,44,19,13,97
miR-1228-3p,118,75,191,453,169,52,90,215,97,134,134,106,96,20,32,315
miR-1229-3p,88,67,144,377,56,49,33,135,58,76,34,152,58,57,11,317
miR-1229-5p,22,8,27,116,18,20,25,41,15,8,13,62,15,19,74,240
miR-1231,74,25,27,226,94,25,331,243,42,92,230,93,80,13,234,434
miR-1233-3p,137,95,63,412,227,67,180,325,126,197,217,158,189,40,163,548
miR-1234-3p,119,173,151,887,221,110,1026,1044,99,244,773,162,236,59,629,1688
miR-1236-3p,10,4,7,85,10,8,15,15,14,3,8,32,14,4,2,74
miR-1236-5p,100,82,42,475,128,55,252,223,67,130,245,57,148,16,53,261
miR-1237-3p,41,25,18,502,26,18,32,96,12,33,32,70,26,5,19,363
miR-1237-5p,4733,4454,8456,13386,7751,2901,19482,28113,3655,6726,38349,13360,8011,1830,20081,20484
miR-1238-3p,11,4,9,93,12,8,6,22,15,8,2,34,13,2,3,65
miR-1238-5p,5,8,9,141,7,5,42,53,7,6,25,50,15,0,33,274
miR-1243,2,2,2,12,1,1,3,12,13,4,0,28,8,1,1,46
miR-124-3p,6,5,8,89,28,2,2440,1167,11,18,503,65,21,0,496,512
miR-1244,47,52,48,15,54,49,15,16,61,35,9,22,62,61,4,55
miR-1245b-3p,4,0,3,20,0,0,9,9,5,0,7,23,5,0,2,41
miR-124-5p,13,8,12,59,32,7,38,47,18,19,41,39,15,3,20,132
miR-1247-3p,79,68,42,222,100,37,230,207,62,90,349,146,127,28,4892,1565
miR-1247-5p,111,47,35,358,253,32,1445,808,77,131,1299,129,241,15,982,1585
miR-1249,37,32,110,320,40,20,59,172,31,47,35,50,40,27,61,316
miR-1250-3p,9,8,4,77,7,6,11,19,14,8,3,34,6,5,2,55
miR-1250-5p,7,11,18,135,7,3,18,59,14,15,12,39,13,3,6,104
miR-1251-3p,12,1,4,100,13,6,410,119,11,11,244,33,16,1,267,332
miR-1252-3p,1,1,3,17,2,0,1,11,4,1,3,12,1,0,1,29
miR-1252-5p,2,2,2,13,2,0,5,4,5,0,1,17,0,0,0,37
miR-1253,6,10,5,88,1,7,23,31,12,7,14,36,13,1,22,87
miR-1254,425,408,618,587,451,324,693,530,361,408,694,344,399,154,422,861
miR-1255b-2-3p,1003,1030,625,223,885,972,152,202,767,805,179,172,1034,328,81,117
miR-1256,36,37,18,25,26,20,19,22,23,33,14,23,41,6,9,64
miR-1257,1,3,3,34,1,0,15,10,5,1,3,21,2,0,2,68
miR-1258,1,1,1,19,3,2,12,10,9,0,1,27,4,0,0,55
miR-125a-3p,13,21,39,86,13,10,30,48,38,28,28,47,22,8,15,121
miR-125a-5p,868,503,712,787,427,326,243,1274,900,758,640,576,563,639,284,271
miR-125b-1-3p,110,93,120,111,57,50,389,181,133,101,313,51,107,84,304,396
miR-125b-2-3p,15,3,5,64,7,7,20,23,9,9,11,33,6,5,7,60
miR-125b-5p,7698,4990,3573,3860,3116,2600,1488,6873,7262,8109,3246,2549,5788,6503,994,1273
miR-1261,4,1,2,43,2,0,9,13,10,3,2,25,3,0,4,51
miR-1262,0,5,14,7,1,1,12,5,6,1,4,19,8,1,4,40
miR-1263,3,1,5,59,9,1,8,13,9,3,3,28,8,0,3,73
miR-126-3p,63,123,38,101,26,23,12,22,68,43,11,48,34,19,4,69
miR-1264,1,1,3,16,3,5,5,8,6,2,1,19,7,3,2,45
miR-1265,3,1,5,32,0,2,7,13,11,1,0,29,7,1,3,69
miR-126-5p,23,20,5,58,10,11,9,17,19,15,5,44,10,12,1,52
miR-1267,9,7,17,53,7,7,18,24,10,11,12,36,7,3,9,65
miR-1269a,15,10,6,156,8,8,162,60,15,11,91,45,9,1,127,242
miR-1269b,46,64,28,117,50,42,219,113,64,66,140,55,54,18,140,336
miR-1270,9,9,4,21,8,4,22,22,14,4,20,29,8,2,11,80
miR-1271-5p,45,36,47,80,31,23,43,25,41,42,29,31,49,21,29,91
miR-1272,2,4,8,15,1,1,0,3,9,2,2,30,5,2,0,70
miR-1273a,330,343,739,595,441,235,871,847,250,342,1000,197,457,73,446,386
miR-1273c,186,256,585,433,187,157,283,283,133,172,344,156,187,117,164,295
miR-1273d,4398,5405,8431,5904,3791,3575,2000,3459,3725,4405,2442,2924,3774,2338,672,1581
miR-1273e,1355,1441,1879,1698,1235,986,702,1370,948,1228,679,815,1075,552,215,630
miR-1273g-5p,118,150,299,426,130,104,133,195,117,130,121,99,127,30,42,240
miR-1273h-5p,3838,5082,8144,4575,3146,3481,2168,3668,3758,3973,2535,2315,3448,2248,931,1548
miR-127-3p,735,1429,915,647,380,663,298,786,885,1075,1263,192,655,923,533,224
miR-1275,7203,2455,669,5750,8026,3288,11723,10286,5373,7595,15106,1181,11365,1079,9926,12129
miR-127-5p,112,214,74,263,847,109,4466,2365,93,257,4198,99,766,93,2754,3719
miR-1276,5,0,10,86,8,1,90,53,5,12,45,35,12,0,63,136
miR-1277-5p,4,2,16,8,0,6,0,2,3,0,0,64,2,1,2,18
miR-1278,1,2,1,21,3,2,4,4,6,0,1,16,8,0,1,36
miR-1279,5,2,4,21,2,0,7,16,14,2,5,21,6,0,3,29
miR-128-1-5p,34,16,22,92,64,11,81,102,11,50,86,41,62,8,39,147
miR-1282,9,1,5,14,6,4,5,5,3,0,3,11,2,5,2,14
miR-128-2-5p,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
miR-1283,6,2,4,114,3,5,5,13,9,0,4,19,4,2,2,61
miR-128-3p,218,125,144,150,112,70,72,95,155,137,81,61,157,135,34,92
miR-1285-5p,1735,1768,1075,705,1641,1383,268,551,1485,1573,519,519,1366,664,217,339
miR-1287-3p,4,7,21,63,6,2,27,23,14,6,9,39,11,4,6,88
miR-1287-5p,23,24,36,105,15,14,16,40,24,16,20,65,18,23,16,80
miR-1288-3p,8,4,9,61,5,9,13,31,25,4,10,27,7,7,4,79
miR-1289,30,19,23,130,18,13,6,13,10,20,7,25,27,4,2,51
miR-1290,5130,4670,1654,3802,8757,2247,5488,3140,10165,5934,4060,1075,12098,1657,1347,1597
miR-1291,190,177,1648,1618,442,149,1811,1068,140,347,2016,410,318,134,899,1241
miR-129-1-3p,13,9,3,151,12,5,8,10,7,4,4,34,10,1,7,96
miR-129-2-3p,9,4,8,160,13,4,9,24,7,11,7,36,7,4,8,93
miR-1292-5p,27,43,29,109,47,38,218,121,31,42,217,40,59,13,711,654
miR-1293,3,10,5,16,5,4,4,8,11,5,4,19,8,1,3,55
miR-1294,5,1,5,29,2,3,2,11,11,1,1,11,5,0,0,42
miR-1295b-3p,3,5,9,61,4,1,34,31,6,2,20,23,9,0,21,132
miR-129-5p,16,19,17,293,11,10,11,30,16,14,3,32,11,16,2,143
miR-1296-3p,163,87,60,194,431,89,2281,1358,134,209,1821,168,418,40,1471,2026
miR-1296-5p,31,37,44,256,32,24,41,64,15,23,39,34,35,24,36,172
miR-1297,4,0,3,30,9,4,55,26,11,3,15,23,4,2,17,58
miR-1298-3p,9,8,3,54,10,1,14,28,10,11,11,32,9,2,5,87
miR-1298-5p,2,5,2,45,5,0,8,14,7,4,2,24,11,2,6,58
miR-1299,186,201,89,70,70,154,22,35,185,126,40,41,115,50,7,65
miR-1301-3p,10,18,13,82,13,10,21,22,23,8,17,58,24,12,8,86
miR-1301-5p,17,12,26,157,55,8,731,241,20,33,572,34,46,6,460,516
miR-1302,1,2,4,17,2,1,6,5,6,2,2,19,4,2,1,24
miR-1303,137,132,62,119,201,125,207,137,119,139,168,68,162,27,124,267
miR-1304-3p,100,108,140,456,103,67,54,321,78,101,55,71,88,32,26,628
miR-1304-5p,24,25,78,367,23,19,52,265,13,16,20,55,32,6,9,654
miR-1305,4,2,2,25,2,1,13,7,12,5,1,20,3,0,5,54
miR-1306-3p,4,6,10,71,9,2,40,48,8,7,6,45,11,5,16,96
miR-1306-5p,37,40,94,306,26,25,31,90,32,36,49,82,45,18,33,247
miR-1307-3p,192,151,267,603,471,127,2442,1962,169,262,1959,215,483,73,1594,2342
miR-1307-5p,6723,1884,369,2487,37660,1134,40848,49393,5416,16300,44305,1525,31660,130,26901,48158
miR-130a-3p,1876,1985,557,224,860,802,206,82,2124,1875,446,64,1979,1506,99,74
miR-130a-5p,3,0,3,55,2,0,9,9,6,3,1,24,5,0,0,54
miR-130b-3p,214,176,132,70,134,104,84,51,223,116,69,43,236,98,29,59
miR-130b-5p,17,12,24,50,17,14,21,35,46,8,25,42,19,12,5,74
miR-1321,5,6,12,41,4,3,73,21,10,4,20,30,3,2,57,99
miR-1322,54,40,38,117,40,22,335,133,40,24,114,64,63,12,178,256
miR-1323,3,2,0,26,7,0,9,9,5,1,2,22,8,0,2,41
miR-132-3p,58,36,44,128,51,22,89,115,83,69,98,66,62,44,40,127
miR-1324,3,11,9,42,6,4,4,9,12,2,1,28,9,6,2,60
miR-132-5p,12,7,4,56,4,9,7,20,11,5,6,32,9,3,2,55
miR-133a-3p,14,9,16,149,13,11,15,39,10,25,13,42,13,8,16,114
miR-133a-5p,6,8,8,185,11,8,9,21,18,1,6,39,6,8,8,97
miR-133b,7,11,3,132,7,2,14,20,11,14,6,35,11,2,5,83
miR-1343-5p,134,118,123,344,724,84,2954,3143,100,311,3216,315,817,48,2838,3577
miR-134-3p,10,9,8,119,7,9,32,36,15,18,24,44,13,10,29,149
miR-134-5p,206,129,117,231,89,80,313,268,187,213,325,96,122,114,281,300
miR-135a-3p,2,3,1,60,3,0,11,24,6,2,13,29,2,0,10,88
miR-135a-5p,2,1,4,10,3,1,4,4,3,3,1,11,4,0,0,24
miR-135b-3p,32,8,15,141,389,9,2623,1790,37,102,2080,61,400,4,1761,2397
miR-135b-5p,6,3,1,13,6,0,3,7,11,11,5,26,10,1,1,31
miR-136-3p,140,147,59,74,113,89,108,81,110,204,91,58,123,121,58,130
miR-136-5p,592,674,91,98,351,350,56,33,792,562,131,47,466,379,16,50
miR-137,437,91,84,213,228,90,79,29,314,384,106,64,238,108,22,83
miR-138-1-3p,3,9,8,143,7,5,10,24,18,6,9,34,13,6,3,123
miR-138-2-3p,4,1,1,28,1,1,6,9,6,1,4,12,3,0,2,54
miR-138-5p,357,405,32,243,178,196,24,55,272,333,25,52,449,253,11,171
miR-139-3p,1,1,9,197,8,8,16,43,10,8,10,32,11,1,14,171
miR-139-5p,65,41,17,226,83,38,28,93,43,54,29,67,59,17,14,175
miR-140-5p,98,32,39,31,52,16,14,11,86,52,38,26,49,30,13,55
miR-141-3p,15,10,9,142,23,12,18,35,15,21,6,60,18,9,10,85
miR-141-5p,3,5,3,62,8,5,9,11,6,11,3,33,13,4,5,84
miR-142-5p,9,81,13,89,21,8,107,32,27,11,41,35,20,4,59,106
miR-143-3p,1535,599,695,440,532,259,257,308,1363,1522,383,363,761,896,96,168
miR-143-5p,338,190,133,486,889,175,3406,1784,276,367,2643,364,785,138,2006,2917
miR-144-3p,2,7,5,25,2,3,11,6,16,0,3,20,9,1,3,51
miR-144-5p,8,2,3,26,1,4,5,5,4,2,2,27,7,5,1,62
miR-145-3p,19,31,10,182,7,11,12,23,15,18,6,38,28,15,4,71
miR-145-5p,3640,7315,6704,3134,1628,3049,1767,4584,2795,5276,2010,1968,2713,4427,1763,1424
miR-1468-3p,9,8,5,32,8,5,9,17,15,3,9,22,10,1,9,53
miR-1468-5p,4,7,3,55,7,4,13,28,9,8,5,32,6,2,2,77
miR-146a-3p,26,6,9,272,38,9,35,64,22,37,32,41,21,9,25,169
miR-146a-5p,1488,5343,1353,1772,629,2686,558,741,1429,5165,2556,331,981,3528,431,249
miR-146b-3p,14,6,15,93,18,10,11,25,14,11,17,28,19,8,12,109
miR-146b-5p,35,46,20,196,34,27,16,37,55,85,56,52,29,37,8,109
miR-1471,40,20,62,436,32,25,151,354,20,32,162,65,101,12,129,411
miR-147a,6,1,1,34,3,3,6,1,10,2,3,22,5,0,1,67
miR-147b,19,13,10,88,45,12,112,66,39,74,108,44,28,5,68,226
miR-148a-3p,497,881,165,188,315,597,112,109,307,910,116,79,397,503,28,99
miR-148b-3p,394,583,136,88,188,229,95,45,285,405,87,39,399,205,28,78
miR-149-3p,92183,39191,18946,35004,72890,76069,14026,30678,60956,66960,19346,81529,43624,76919,37918,27460
miR-149-5p,77,127,256,155,58,48,97,70,69,85,74,71,83,72,81,161
miR-150-3p,91,89,87,448,115,119,286,254,59,141,258,179,107,46,1266,1171
miR-150-5p,8,19,7,124,6,6,26,21,14,8,8,32,7,3,17,129
miR-151a-3p,204,154,107,215,100,86,194,129,181,192,149,76,118,127,114,200
miR-152-3p,801,1127,328,405,352,547,134,368,635,954,173,157,667,816,97,190
miR-153-3p,11,5,6,73,9,5,260,77,6,10,163,25,19,3,166,277
miR-153-5p,5,9,2,24,2,1,5,5,9,0,1,25,1,0,0,48
miR-1537-3p,11,17,7,48,13,5,17,17,20,7,19,27,9,5,16,93
miR-1537-5p,1,2,1,16,1,0,5,5,4,4,2,18,4,0,1,38
miR-1538,125,89,137,529,156,88,197,612,123,144,146,259,164,33,92,556
miR-1539,83,48,42,434,290,38,1091,695,77,112,832,103,228,24,515,1134
miR-154-3p,177,326,141,67,99,153,56,34,354,473,144,57,148,236,21,67
miR-154-5p,301,296,133,128,123,153,76,82,247,358,81,75,235,249,34,94
miR-155-3p,2,1,3,30,4,2,7,11,6,3,0,15,5,2,1,35
miR-155-5p,50,43,112,255,43,35,68,97,457,265,471,150,63,66,37,63
miR-1587,22,28,41,136,27,37,25,85,29,30,49,44,37,15,31,135
miR-15a-3p,9,6,11,130,5,3,15,25,7,11,3,41,9,3,11,110
miR-15a-5p,339,374,173,142,229,105,90,45,330,223,154,40,304,144,31,115
miR-15b-3p,8,6,12,66,11,9,12,11,10,8,4,33,8,2,3,60
miR-15b-5p,388,305,334,149,241,133,149,121,375,330,287,83,315,155,68,86
miR-16-1-3p,6,15,16,110,28,10,42,42,7,16,35,40,29,9,19,118
miR-16-5p,816,383,716,341,388,147,187,186,728,550,380,119,581,328,101,89
miR-17-3p,104,114,79,246,126,58,375,155,130,142,280,79,147,55,204,441
miR-17-5p,403,626,320,220,202,248,100,59,508,387,241,64,508,338,64,147
miR-181a-2-3p,27,38,25,76,27,23,44,72,48,21,47,29,45,28,25,129
miR-181a-3p,30,52,17,44,33,16,17,19,52,32,13,36,42,21,7,61
miR-181a-5p,2958,1996,1192,1047,1428,1194,759,967,2056,1915,776,381,2243,1352,190,167
miR-181b-3p,5,13,8,44,12,11,10,15,15,6,8,22,7,1,6,87
miR-181b-5p,884,578,749,496,369,381,381,513,671,521,390,281,632,579,98,218
miR-181c-3p,8,2,8,56,6,2,21,20,13,4,7,48,2,5,5,94
miR-181c-5p,469,242,160,409,711,223,2635,1548,304,410,1890,477,644,175,1673,2229
miR-181d-3p,5,3,8,77,7,3,288,95,9,5,158,37,10,2,206,279
miR-181d-5p,471,299,253,271,204,176,197,181,342,264,202,102,342,163,34,152
miR-182-3p,1,0,0,21,0,3,4,9,8,0,3,28,6,0,1,44
miR-182-5p,1,1,0,46,5,1,7,7,7,2,1,36,1,1,0,49
miR-183-3p,1,0,3,12,1,0,3,3,3,2,1,13,1,1,1,23
miR-183-5p,2,1,3,29,1,1,6,11,3,1,1,16,3,0,0,34
miR-184,4,2,51,27,10,3,12,20,7,10,12,36,7,11,13,69
miR-185-3p,12,5,17,52,5,8,8,22,3,16,7,24,11,2,5,73
miR-185-5p,246,531,368,226,92,192,157,188,235,220,200,101,200,216,149,118
miR-186-3p,22,13,8,188,17,11,203,85,14,10,106,51,16,2,119,298
miR-186-5p,484,619,366,301,250,288,223,247,520,424,348,127,356,241,142,161
miR-187-3p,82,31,25,385,53,39,16,172,65,67,11,106,40,37,8,402
miR-187-5p,41,39,48,394,47,40,41,187,29,42,43,91,45,30,40,431
miR-188-3p,12,14,11,124,7,8,141,53,12,11,76,67,20,9,77,189
miR-188-5p,49,34,26,149,46,22,389,129,46,56,241,62,59,33,272,356
miR-18a-3p,9,21,106,113,13,9,73,35,18,19,75,48,19,8,47,170
miR-18a-5p,71,73,40,80,40,28,176,60,73,66,121,38,86,37,120,217
miR-18b-3p,8,6,5,72,8,7,44,33,3,6,33,29,2,2,30,104
miR-18b-5p,32,33,21,86,32,18,86,39,64,50,66,38,45,11,47,168
miR-1908-5p,1049,762,614,1351,1490,502,2552,6902,745,1476,1649,1290,1467,100,2144,4526
miR-1909-3p,155,97,163,719,520,77,2842,2694,128,263,3683,206,639,49,2515,3247
miR-1909-5p,415,151,105,522,3073,168,7341,5862,298,802,7372,333,2490,96,4967,7369
miR-190a-3p,3,3,2,44,4,2,2,10,9,6,1,19,5,1,2,42
miR-190a-5p,5,3,3,28,2,3,4,6,4,3,2,21,2,0,2,29
miR-190b,5,3,1,22,8,2,5,7,7,2,2,19,2,0,2,35
miR-1910-3p,58,97,234,350,33,50,319,222,44,64,284,101,95,23,455,329
miR-1910-5p,44,27,51,433,82,24,722,351,37,40,544,86,83,14,441,747
miR-1911-3p,12,9,9,77,17,6,24,40,19,10,21,42,18,4,18,112
miR-1911-5p,3,2,3,80,13,2,125,58,5,5,82,44,10,0,68,220
miR-1912,7,0,5,54,5,6,21,18,11,8,3,28,10,1,4,76
miR-1913,174,328,346,2874,242,140,665,1092,160,256,635,315,325,245,444,1068
miR-191-3p,7,15,26,79,16,7,129,67,8,9,64,52,23,2,69,172
miR-1914-3p,43,147,159,435,73,65,351,453,59,106,430,177,90,56,560,751
miR-1914-5p,147,143,134,727,204,98,226,486,118,137,272,110,167,40,159,954
miR-1915-3p,757,964,2595,3341,3403,431,13030,11323,739,1704,15886,4590,3615,178,8733,11470
miR-1915-5p,21,10,40,451,40,11,363,311,17,25,262,64,47,3,255,812
miR-191-5p,956,1920,2252,1171,489,777,582,1305,1097,1054,1284,558,869,884,600,426
miR-192-3p,16,9,9,216,18,2,39,47,13,15,31,53,14,8,17,159
miR-192-5p,13,7,10,96,9,4,9,14,15,16,2,23,8,10,6,60
miR-193a-3p,2222,1686,841,1011,17871,950,34389,31470,1810,6176,34136,281,16485,1320,21531,33542
miR-193a-5p,401,804,1434,508,219,263,423,333,325,474,407,290,344,218,362,229
miR-193b-3p,976,1997,1849,1368,1739,912,6017,4478,868,1892,5604,821,2000,1149,3190,4568
miR-193b-5p,14,23,17,60,3,7,11,22,22,15,12,33,20,20,107,66
miR-194-3p,3,3,8,48,3,0,11,14,7,3,1,27,6,2,3,88
miR-194-5p,16,12,7,53,7,7,34,17,32,16,23,31,10,9,22,98
miR-195-3p,14,5,2,249,8,6,15,33,11,14,10,37,11,9,10,148
miR-195-5p,12,7,9,188,8,9,10,22,18,7,6,21,14,6,2,105
miR-196a-3p,38,35,15,104,66,21,774,235,27,51,539,54,82,18,458,559
miR-196a-5p,100,103,173,114,46,72,123,151,118,94,80,128,57,115,34,93
miR-196b-3p,285,129,126,569,365,159,1556,778,224,295,1209,270,317,71,951,1500
miR-196b-5p,76,37,59,73,23,22,59,41,83,49,45,59,40,30,13,75
miR-197-3p,178,199,518,670,91,110,101,341,190,183,220,135,142,156,107,551
miR-197-5p,230,111,107,497,630,119,1673,1184,177,317,3084,183,974,101,2319,1885
miR-1976,24,22,46,288,25,13,25,81,30,29,34,64,37,6,16,220
miR-198,63,114,776,1219,60,61,268,520,60,78,387,159,100,88,3053,704
miR-199a-3p,3687,2849,2380,1205,1876,1454,859,1357,4296,4094,1751,538,3031,3162,370,310
miR-199a-5p,2813,3139,1893,965,1342,1745,793,891,2635,3826,1554,486,2485,2794,408,307
miR-199b-5p,145,54,153,71,80,27,49,25,129,63,97,58,140,58,19,52
miR-19a-3p,330,308,222,266,181,99,87,83,341,324,205,60,322,130,36,219
miR-19a-5p,16,12,6,235,26,11,76,96,13,10,42,53,21,5,42,318
miR-19b-1-5p,20,10,14,151,28,11,140,69,14,18,80,36,20,10,81,275
miR-19b-2-5p,13,3,9,148,16,7,39,34,8,8,32,41,9,3,32,138
miR-19b-3p,1277,1840,995,327,671,844,396,125,1135,1389,721,101,1487,625,174,158
miR-200a-3p,3,5,3,55,7,2,15,9,8,7,8,27,8,0,7,77
miR-200a-5p,24,9,8,208,30,8,21,37,15,14,9,39,15,6,11,149
miR-200b-3p,2,4,2,14,2,1,7,9,5,1,0,23,1,0,3,53
miR-200b-5p,3,1,2,31,4,2,7,7,2,2,2,16,5,1,1,59
miR-200c-3p,4,1,1,30,3,3,3,9,7,3,3,28,6,0,4,48
miR-200c-5p,1,3,6,64,6,7,13,11,5,2,2,43,5,1,3,85
miR-202-3p,1,2,2,30,6,1,12,13,7,1,5,19,3,1,28,67
miR-202-5p,4,1,1,10,2,3,0,3,9,3,4,14,4,1,1,35
miR-203b-3p,1,1,4,26,2,2,2,3,5,1,3,16,3,0,3,41
miR-203b-5p,3,0,1,37,5,3,3,10,3,4,2,15,3,2,1,31
miR-204-3p,128,148,212,688,131,171,341,785,87,128,335,184,182,80,966,1184
miR-204-5p,13,2,5,32,6,4,11,11,12,2,10,16,8,1,0,43
miR-2052,0,0,2,19,2,1,12,13,12,0,11,29,2,1,2,60
miR-2053,0,0,0,16,1,0,4,6,6,0,0,17,1,0,0,31
miR-205-3p,11,7,2,44,21,2,26,38,16,11,15,32,22,0,15,90
miR-2054,0,1,2,14,1,0,0,3,4,0,1,11,1,0,0,17
miR-205-5p,9,3,11,146,15,5,58,47,13,9,36,61,5,3,26,154
miR-206,0,1,7,31,1,2,4,8,7,3,3,21,2,1,1,73
miR-208a-3p,41,9,18,474,764,12,3403,1980,44,138,2642,74,701,3,1973,3187
miR-208a-5p,0,0,2,27,3,1,5,9,3,2,1,15,1,0,3,41
miR-208b-3p,3,4,5,102,8,2,122,31,11,3,60,29,9,1,56,154
miR-208b-5p,5,1,6,126,7,6,9,64,9,4,2,32,6,3,6,262
miR-20a-3p,11,5,20,214,16,9,9,42,30,14,5,33,15,5,5,156
miR-20a-5p,310,201,266,66,165,75,68,27,310,243,175,40,331,118,44,63
miR-20b-3p,3,5,8,86,5,2,11,30,13,2,13,33,14,0,7,137
miR-20b-5p,164,78,70,274,81,51,70,53,181,127,102,44,152,37,37,227
miR-210-3p,196,598,215,595,106,221,173,230,301,809,488,174,221,376,194,453
miR-210-5p,154,124,173,896,159,95,254,612,129,169,245,225,193,48,171,1068
miR-2110,9,25,31,131,15,10,57,249,17,14,22,55,18,10,53,207
miR-2113,3,4,2,54,4,3,12,15,7,2,1,30,3,2,1,66
miR-211-3p,268,257,400,667,506,168,495,720,186,301,546,281,465,101,1429,859
miR-2114-3p,4,4,4,107,21,7,108,55,8,15,79,35,24,5,97,161
miR-2114-5p,61,21,18,220,1226,18,6562,3486,47,186,5547,66,1184,5,3665,5154
miR-2115-3p,47,23,20,171,30,22,16,35,50,37,16,76,19,20,14,124
miR-2115-5p,37,31,17,193,42,15,81,53,32,27,57,87,28,24,57,201
miR-211-5p,12,6,8,93,4,5,10,15,6,2,3,24,7,0,4,77
miR-2116-3p,49,17,29,200,43,33,22,37,36,52,11,72,38,18,10,105
miR-2116-5p,37,13,10,108,41,15,15,46,24,33,5,65,32,11,4,94
miR-2117,25,13,6,85,42,10,131,76,20,33,85,41,42,1,86,267
miR-212-3p,126,66,52,273,215,80,118,248,101,199,157,130,141,60,98,359
miR-212-5p,6,5,1,44,3,4,6,11,9,6,2,25,1,1,2,47
miR-21-3p,252,441,474,470,436,183,3194,1119,318,304,2823,85,591,219,1869,2022
miR-214-5p,67,69,55,93,34,30,38,45,76,70,86,50,83,56,24,98
miR-215-3p,1,1,0,15,2,3,1,3,2,2,1,14,2,0,1,24
miR-215-5p,2,5,2,113,4,4,11,8,8,3,2,24,4,1,1,70
miR-21-5p,12040,4018,3445,2883,6967,2309,1742,1653,13569,10197,5198,1072,7389,3759,462,633
miR-216a-3p,3,2,2,46,0,0,8,11,14,3,3,25,4,0,1,66
