,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,DOG_1,DOG_2,DOG_3,DOG_4,Dual_1,Dual_2,Dual_3,Dual_4,Olig_1,Olig_2,Olig_3,Olig_4
miR-6760-5p,45,71,74,234,45,39,107,145,35,60,108,103,72,46,226,271
miR-6761-3p,13,11,11,124,33,7,25,41,24,7,38,51,23,2,19,111
miR-6761-5p,76,31,28,300,84,34,190,149,49,70,134,84,63,14,115,326
miR-6762-3p,50,31,23,257,436,23,3091,1069,37,78,3023,57,412,3,1810,2291
miR-676-3p,2,1,1,30,5,1,7,8,12,0,1,33,6,0,3,55
miR-6764-3p,11,4,0,56,12,5,61,27,8,1,28,37,4,3,50,107
miR-6764-5p,8,7,11,76,12,3,88,42,14,7,46,41,18,1,50,156
miR-6765-5p,283,95,64,595,260,121,232,534,213,281,234,316,210,86,468,1373
miR-676-5p,1,5,3,70,12,1,19,21,10,2,17,49,8,1,5,77
miR-6766-3p,5,2,7,169,18,8,24,34,11,8,7,46,14,5,35,147
miR-6766-5p,5,0,5,37,2,1,18,277,7,8,12,54,3,0,19,102
miR-6767-3p,97,47,24,125,90,29,48,122,95,95,92,100,115,8,47,182
miR-6767-5p,9,9,19,112,7,8,20,41,19,10,22,29,11,5,74,168
miR-6768-3p,9,5,8,157,22,9,23,59,17,20,21,76,14,5,33,178
miR-6768-5p,139,218,266,475,637,71,5638,2043,88,348,7821,157,1127,63,1563,2311
miR-6769a-3p,25,11,21,280,27,18,216,109,16,23,131,47,35,11,325,455
miR-6769a-5p,50,48,43,249,31,45,56,86,28,36,41,81,30,19,131,223
miR-6769b-3p,91,36,46,248,76,46,54,112,55,90,64,167,77,42,68,237
miR-6770-3p,300,34,39,582,6074,28,15766,14258,305,1512,15918,117,5517,6,10995,16012
miR-6770-5p,1,9,24,111,12,5,101,49,18,6,46,70,4,2,50,181
miR-6771-3p,38,20,14,236,97,25,842,409,38,52,710,85,103,17,541,772
miR-6771-5p,562,480,532,1280,509,384,867,1499,404,578,738,1148,566,187,1081,2001
miR-6772-3p,15,10,9,370,11,9,17,60,15,10,9,39,17,7,9,247
miR-6772-5p,6,8,13,82,5,5,21,26,10,7,17,32,17,4,170,309
miR-6773-3p,6,6,9,34,7,3,5,10,6,5,2,28,7,0,1,78
miR-6773-5p,9,9,18,99,4,7,34,47,13,9,16,28,10,4,19,115
miR-6774-3p,344,101,65,384,5127,96,13482,9331,280,1146,12618,198,4352,30,8185,12102
miR-6774-5p,6,3,12,346,22,3,139,234,9,16,117,56,17,2,141,874
miR-6775-3p,72,66,96,613,69,61,131,188,49,81,132,129,65,51,67,522
miR-6775-5p,727,342,289,980,892,469,322,1345,514,660,568,516,685,328,1680,2952
miR-6776-3p,21,15,13,337,16,19,33,47,22,25,21,55,25,7,12,196
miR-6776-5p,13,12,23,91,9,13,21,56,11,14,31,58,14,5,31,91
miR-6778-3p,6,2,11,98,9,1,11,10,8,9,8,25,4,3,3,56
miR-6778-5p,439,635,1241,1734,447,476,1963,2018,295,580,1387,655,667,286,1171,1565
miR-6779-3p,11,11,8,181,18,8,12,18,11,15,8,45,15,4,5,107
miR-6779-5p,32,31,31,109,31,26,53,87,31,24,82,55,37,18,340,359
miR-6780a-3p,1,3,2,23,1,4,3,6,5,2,4,29,3,1,0,41
miR-6780a-5p,62,32,55,164,60,62,86,131,33,19,83,80,38,45,163,224
miR-6780b-3p,5,2,5,72,6,8,11,13,8,4,5,24,11,5,2,64
miR-6780b-5p,116073,110067,37644,67658,138171,104797,27585,48978,110697,144498,26170,47996,127416,42158,13383,48989
miR-6781-3p,6,5,12,85,5,3,14,16,11,4,10,20,6,8,12,97
miR-6781-5p,441,209,580,1042,313,221,576,754,283,289,553,715,373,332,913,1125
miR-6782-3p,7,8,6,95,5,2,13,19,12,8,9,34,13,2,3,106
miR-6782-5p,7921,8182,2030,17208,9959,5160,12295,26577,8018,14101,14589,3229,16816,1230,2243,18866
miR-6783-3p,5,4,5,98,5,1,13,19,11,2,3,39,4,2,7,74
miR-6783-5p,5,3,5,56,4,3,79,19,4,6,34,26,6,1,49,115
miR-6784-5p,52,31,35,215,42,32,63,145,27,31,41,119,25,44,110,198
miR-6785-3p,77,42,65,583,98,54,90,222,51,69,108,102,80,18,339,580
miR-6786-3p,4,6,3,47,5,1,6,12,2,4,1,21,6,5,1,64
miR-6787-3p,16,12,20,288,23,13,93,70,11,25,49,49,23,7,47,224
miR-6787-5p,55,21,33,170,52,26,265,1897,26,41,81,99,34,14,412,437
miR-6788-3p,23,22,21,509,54,16,51,215,31,39,47,56,44,9,39,511
miR-6789-3p,228,124,98,488,493,112,1720,1092,187,305,1689,238,408,46,1091,1612
miR-6789-5p,162,91,114,834,550,69,1676,2313,131,264,1793,346,528,29,1563,3263
miR-6790-5p,2,2,9,30,3,4,3,14,6,3,4,19,7,1,4,97
miR-6791-3p,112,25,32,366,1988,25,9600,6714,97,507,8905,74,2105,5,6639,8204
miR-6791-5p,112,117,345,554,262,77,1883,1358,77,144,1894,381,368,90,1521,2021
miR-6792-3p,41,26,41,659,52,23,39,204,39,43,36,83,54,14,23,741
miR-6792-5p,8,5,11,222,20,8,106,103,11,3,55,45,14,2,67,346
miR-6793-5p,6,14,24,107,8,1,8,21,7,9,7,40,8,6,409,199
miR-6794-3p,36,23,20,260,37,28,24,61,33,34,21,81,30,13,15,163
miR-6794-5p,866,341,191,680,670,659,218,511,725,875,623,499,589,605,1354,701
miR-6795-3p,53,20,28,223,49,21,35,70,42,62,91,64,68,27,168,198
miR-6796-3p,245,121,98,724,393,99,176,602,225,320,391,177,312,32,268,884
miR-6796-5p,11,16,15,152,12,16,13,55,15,19,15,40,22,4,59,148
miR-6797-3p,14,7,8,169,12,6,17,37,8,16,15,28,22,4,26,183
miR-6797-5p,213,281,440,729,223,251,459,513,145,180,571,316,226,198,933,823
miR-6798-5p,1134,1378,1544,3778,1396,1196,1142,4565,1204,2295,1339,1768,5363,535,2950,2405
miR-6799-3p,46,27,30,250,101,30,672,311,48,68,499,87,102,7,453,756
miR-6799-5p,501,413,413,942,381,389,305,588,354,369,422,496,536,289,15070,4351
miR-6800-3p,25,18,35,438,59,20,452,242,33,42,302,95,35,18,245,691
miR-6800-5p,1068,488,1205,1355,1211,388,506,1465,691,806,468,1918,731,302,2244,1717
miR-6801-3p,70,41,41,206,269,20,1539,859,53,111,1237,78,269,12,898,1319
miR-6801-5p,18,25,32,189,25,17,59,71,25,17,52,61,39,2,33,188
miR-6802-3p,10,6,3,59,5,0,5,11,8,3,8,30,4,0,6,58
miR-6802-5p,35,25,221,535,44,26,1029,9566,31,38,106,495,61,16,212,585
miR-6803-3p,26,13,25,504,37,18,32,132,15,22,29,57,28,9,21,356
miR-6803-5p,2174,1036,853,1467,1285,893,366,2639,1152,1470,648,4435,705,1294,5616,2976
miR-6804-3p,49,47,65,618,66,39,27,214,40,64,39,74,53,23,16,592
miR-6805-5p,12,4,7,66,9,7,19,42,9,7,9,39,13,4,26,143
